M,A,B
161024,150181,150182
163113,150171,150172
161022,150152,150153
160631,150227,150228
161812,150018,150019
160633,150235,150236
161027,150223,150224
160218,150117,150118
161026,150209,150210
161720,150200,150201
164402,150221,150222
502010,502011,502012
163114,150184,150185
165521,150157,150158
160219,150130,150131
161025,150194,150195
160221,150196,150197
160630,150205,150206
165515,150051,150052
160625,150177,150178
162412,150261,150262
163109,150022,150023
160637,150243,150244
165312,150123,150124
161028,150211,150212
502003,502004,502005
163116,150231,150232
160628,150192,150193
168201,150265,150266
160620,150100,150101
161629,150343,150344
164401,150219,150220
502048,502049,502050
161715,150096,150097
160629,150203,150204
167301,150329,150330
163111,150085,150086
160222,150198,150199
160420,150303,150304
160418,150299,150300
161118,150106,150107
161628,150335,150336
164304,150190,150191
163115,150186,150187
167503,150275,150276
160419,150301,150302
165522,150173,150174
168205,150291,150292
161031,150315,150316
502036,502037,502038
164905,150217,150218
161029,150241,150242
161724,150251,150252
164907,150317,150318
502053,502054,502055
502006,502007,502008
168204,150289,150290
164820,150325,150326
160639,150277,150278
160136,150295,150296
165511,150028,150029
160626,150179,150180
162509,150012,150013
160814,150281,150282
161032,150321,150322
161725,150269,150270
165520,150150,150151
161223,150213,150214
161721,150207,150208
164818,150247,150248
168203,150287,150288
160632,150229,150230
160516,150225,150226
502056,502057,502058
161723,150249,150250
161819,150059,150060
160517,150267,150268
502013,502014,502015
164819,150323,150324
161121,150255,150256
160634,150237,150238
168001,150305,150306
165315,150331,150332
161123,150259,150260
502030,502031,502032
165519,150148,150149
161030,150307,150308
160636,150245,150246
160224,150215,150216
160137,150297,150298
161816,150030,150031
163118,150283,150284
165523,150309,150310
160809,150108,150109
165524,150311,150312
160638,150273,150274
162714,150083,150084
161122,150257,150258
164508,150135,150136
161910,150090,150091
160135,150293,150294
160640,150279,150280
164821,150327,150328
160417,150104,150105
502040,502041,502042
163117,150233,150234
161811,150167,150168
161207,150008,150009
161726,150271,150272
167601,150140,150141
164811,150112,150113
162010,150057,150058
502023,502024,502025
162907,150094,150095
163209,150073,150075
502020,502021,502022
162413,150263,150264
162107,150088,150089
502000,502001,502002
166802,150076,150077
161825,150138,150139
162216,150053,150054
161718,150145,150146
161507,150121,150122
165707,150092,150093
160808,150064,150065
502016,502017,502018
164809,150055,150056
168202,150285,150286
161630,150349,150350
160635,150239,150240
164403,150253,150254
160225,150357,150358
165525,150313,150314
502026,502027,502028
164908,150319,150320
165316,150333,150334
161832,150351,150352
161833,150353,150354
